color,accuracy,precision,recall,TP,TN,FP,FN
beige,0.803,0.613,0.153,19,3397,12,105
black,0.803,0.739,0.856,255,3617,90,43
blue,0.803,0.989,0.625,172,3562,2,103
brown,0.803,0.728,0.654,155,3510,58,82
cream,0.803,0.167,0.03,1,3459,5,32
crimson,0.803,0.115,0.333,3,3469,23,6
gold,0.803,0.333,0.04,1,3470,2,24
green,0.803,1.0,0.522,24,3497,0,22
grey,0.803,0.687,0.825,283,3589,129,60
navy-blue,0.803,0.279,0.756,34,3430,88,11
orange,0.803,0.886,0.66,31,3506,4,16
red,0.803,0.948,0.915,237,3697,13,22
silver,0.803,0.722,0.493,104,3452,40,107
titanium,0.803,0.42,0.63,34,3462,47,20
white,0.803,0.89,0.983,1411,4708,174,24
yellow,0.803,0.932,0.759,41,3520,3,13
