color,accuracy,precision,recall,TP,TN,FP,FN
beige,0.825,0.667,0.194,24,3422,12,100
black,0.825,0.739,0.846,252,3627,89,46
blue,0.825,0.99,0.742,204,3641,2,71
brown,0.825,0.833,0.549,130,3507,26,107
cream,0.825,0.667,0.182,6,3486,3,27
crimson,0.825,0.333,0.444,4,3501,8,5
gold,0.825,0.429,0.12,3,3487,4,22
green,0.825,0.968,0.652,30,3523,1,16
grey,0.825,0.672,0.854,293,3610,143,50
navy-blue,0.825,0.351,0.867,39,3471,72,6
orange,0.825,0.882,0.638,30,3519,4,17
red,0.825,0.95,0.958,248,3734,13,11
silver,0.825,0.652,0.559,118,3472,63,93
titanium,0.825,0.595,0.797,47,3513,32,12
white,0.825,0.91,0.985,1424,4772,141,21
yellow,0.825,1.0,0.833,45,3546,0,9
