color,accuracy,precision,recall,TP,TN,FP,FN
beige,0.839,0.725,0.234,29,3418,11,95
black,0.839,0.739,0.913,272,3645,96,26
blue,0.839,1.0,0.745,205,3630,0,70
brown,0.839,0.847,0.536,127,3489,23,110
cream,0.839,0.125,0.03,1,3457,7,32
crimson,0.839,0.167,0.222,2,3480,10,7
gold,0.839,0.333,0.08,2,3470,4,23
green,0.839,0.971,0.717,33,3514,1,13
grey,0.839,0.72,0.869,298,3632,116,45
navy-blue,0.839,0.38,0.844,38,3464,62,7
orange,0.839,0.921,0.745,35,3515,3,12
red,0.839,0.969,0.958,248,3724,8,11
silver,0.839,0.625,0.711,150,3494,90,61
titanium,0.839,0.673,0.685,37,3497,18,17
white,0.839,0.929,0.983,1410,4772,108,25
yellow,0.839,0.902,0.852,46,3528,5,8
